,depot,HB101,HB102,HB103,HB105,HB106,HB201,HB202,HB203,HB301,HB302,HB303,HB304,HB305,HB401,HB402,HB404,HB407,HB408,HB409,HB501,HB502,HB503,HB505,HB506,HB508,HB601,HB602,HB603,HB608,HB609,HB610,HB611,HB612,JC002,JC003,JC006,JC008,JC009,JC013,JC014,JC018,JC019,JC020,JC022,JC023,JC024,JC027,JC032,JC034,JC035,JC038,JC051,JC052,JC053,JC055,JC057,JC059,JC063,JC065,JC066,JC072,JC074,JC075,JC076,JC077,JC078,JC080,JC081,JC082,JC084,JC093,JC094,JC095,JC097,JC098,JC099,JC102,JC103,JC104,JC105,JC107,JC108,JC109,JC110,JC115,JC116,JC117,JC118,JC119,JC120,JC121,JC122,JC123,JC124,JC125,JC127,JC130,JC131,JC132,JC133,JC134,JC135,JC137,JC138,JC139,JC140,JC142,JC143,JC144,JC145
JC116,19.157,3.867,4.095,4.473,3.911,4.062,5.72,5.877,5.793,3.964,4.204,4.543,4.095,4.573,3.603,3.513,4.038,3.647,3.768,3.79,5.355,5.347,5.129,5.185,5.364,4.515,4.405,4.795,4.911,3.851,4.118,5.307,4.563,3.882,0.58,1.093,0.87,1.993,2.265,0.988,1.137,3.502,3.052,2.674,3.932,2.069,4.445,1.965,1.309,3.529,1.182,0.548,4.676,2.521,4.246,3.762,4.713,4.729,4.254,5.015,2.018,0.76,1.541,2.42,1.51,3.564,2.832,5.067,2.274,1.172,3.104,3.407,4.222,3.516,0.756,1.274,1.465,0.437,3.637,0.529,3.408,4.849,5.348,3.75,1.604,0.897,0.0,2.523,2.851,3.642,3.439,3.67,4.171,4.136,5.226,5.034,4.724,6.81,6.264,5.922,5.524,6.74,7.895,7.004,6.775,6.73,5.792,5.295,5.036,7.386,4.811
JC117,31.655,4.83,5.058,5.436,4.873,5.024,6.682,6.854,6.769,4.863,5.102,5.506,4.994,5.472,4.114,4.411,4.548,4.6,4.278,4.753,6.254,6.309,6.027,6.147,6.262,5.413,5.367,5.757,5.873,4.813,5.08,6.206,5.525,4.844,2.828,1.818,2.837,3.96,2.773,1.786,2.253,3.2,2.75,1.816,3.63,1.767,4.143,2.454,2.025,3.227,1.34,2.478,2.666,0.307,2.777,2.783,4.411,5.048,2.245,3.875,4.152,2.4,2.257,2.118,1.634,1.555,0.567,4.765,1.972,2.458,1.005,2.009,3.364,1.753,1.997,3.238,1.388,2.078,3.197,2.78,3.536,2.619,3.463,2.772,1.3,2.281,2.523,0.0,0.551,1.602,1.399,1.63,2.131,2.261,3.186,2.994,2.307,4.788,4.224,3.228,2.829,4.045,5.146,4.255,3.73,3.912,4.25,3.256,2.946,4.637,2.771
JC118,31.711,8.614,8.842,9.22,8.657,8.808,10.466,10.754,10.669,8.647,8.886,9.29,8.778,9.256,7.898,8.196,8.332,8.384,8.063,8.537,10.038,10.093,9.811,9.932,10.046,9.198,9.151,9.541,9.657,8.597,8.864,9.99,9.31,8.629,3.156,2.146,3.165,8.338,3.101,2.113,2.581,2.98,3.078,1.61,3.958,2.095,4.471,2.782,2.353,3.555,1.668,2.806,2.29,0.857,2.401,2.638,4.739,9.024,2.22,3.985,8.319,2.728,2.585,2.445,1.962,1.334,0.335,4.413,2.3,2.786,0.492,2.018,3.098,1.899,2.325,3.566,1.715,2.406,3.051,3.108,3.864,2.106,2.95,2.626,1.851,2.609,2.851,0.551,0.0,1.099,1.096,1.253,1.754,1.593,2.827,2.621,1.794,4.275,3.708,2.715,2.316,3.533,4.633,3.742,3.217,3.399,4.058,2.735,2.433,4.124,2.395
JC119,31.99,7.895,8.123,8.501,7.938,8.089,9.747,10.035,9.95,7.928,8.167,8.571,8.059,8.537,7.179,7.476,7.613,7.665,7.344,7.818,9.319,9.374,9.092,9.212,9.327,8.479,8.432,8.822,8.938,7.878,8.145,9.271,8.591,7.909,3.947,2.937,3.956,7.619,3.768,2.905,3.372,2.971,2.926,1.601,3.722,2.762,4.028,3.449,3.02,4.222,2.459,3.597,1.765,1.909,2.391,2.628,5.406,8.305,1.393,3.599,7.6,3.519,3.252,3.112,2.629,1.253,1.045,4.404,2.967,3.519,0.631,2.008,3.088,1.889,3.116,7.896,2.792,3.197,3.042,3.899,6.887,1.279,2.126,2.616,2.453,3.276,3.642,1.602,1.099,0.0,0.401,0.962,0.974,0.487,2.029,1.794,1.075,3.556,2.881,1.996,1.597,2.813,3.914,3.023,2.498,2.68,2.699,1.908,1.606,3.405,2.385
JC120,32.399,8.304,8.532,8.91,8.347,8.498,10.156,10.443,10.358,8.337,8.576,8.98,8.468,8.946,7.588,7.885,8.022,8.074,7.753,8.227,9.728,9.783,9.501,9.621,9.736,8.888,8.841,9.231,9.347,8.287,8.554,9.68,8.999,8.318,3.744,2.734,3.754,8.028,3.565,2.702,3.169,2.768,2.723,1.398,3.52,2.559,3.825,3.246,2.817,4.02,2.257,3.394,1.396,1.706,1.976,2.425,5.203,8.714,1.028,3.56,8.008,3.317,3.049,2.91,2.426,0.909,1.042,4.201,2.765,3.316,0.628,1.805,3.022,1.474,2.914,4.137,2.59,2.994,2.839,3.696,7.296,1.358,2.12,2.414,2.251,3.073,3.439,1.399,1.096,0.401,0.0,0.593,0.913,0.577,1.968,1.755,1.131,3.139,2.593,2.404,2.006,3.222,4.322,3.432,2.907,3.089,3.108,2.017,1.685,3.813,1.97
JC121,32.96,8.864,9.092,9.47,8.908,9.058,10.717,11.004,10.919,8.897,9.136,9.54,9.028,9.506,8.148,8.446,8.582,8.634,8.313,8.787,10.288,10.343,10.061,10.182,10.297,9.448,9.401,9.792,9.908,8.847,9.115,10.24,9.56,8.879,3.974,2.964,3.984,8.589,3.795,2.932,3.399,2.838,2.793,1.468,3.589,2.789,3.895,3.476,3.048,4.25,2.487,3.624,1.086,1.936,1.484,2.2,5.433,9.274,0.718,3.068,8.569,3.547,3.28,3.14,2.656,0.417,1.2,3.745,2.995,3.547,0.785,1.33,2.53,0.982,3.144,4.368,2.82,3.224,2.909,3.926,4.558,1.573,1.81,1.917,2.481,3.304,3.67,1.63,1.253,0.962,0.593,0.0,0.605,1.093,1.66,1.447,1.606,2.831,2.285,2.224,2.567,2.117,3.366,3.207,2.721,3.649,3.668,1.709,1.302,2.849,1.478
JC122,32.972,8.876,9.104,9.482,8.919,9.07,10.729,11.016,10.931,8.909,9.148,9.552,9.04,9.518,8.16,8.458,8.594,8.646,8.325,8.799,10.3,10.355,10.073,10.194,10.308,9.46,9.413,9.804,9.919,8.859,9.127,10.252,9.572,8.891,4.475,3.466,4.485,8.6,4.297,3.433,3.901,3.499,3.454,2.129,4.251,3.29,4.556,3.977,3.549,4.751,2.988,4.125,1.336,2.437,2.088,2.805,5.934,9.286,0.722,3.673,8.581,4.048,3.781,3.641,3.158,1.021,1.701,4.349,3.496,4.048,1.287,1.934,3.134,1.586,3.645,4.869,3.321,3.725,3.57,4.428,7.868,1.575,1.846,2.522,2.982,3.805,4.171,2.131,1.754,0.974,0.913,0.605,0.0,1.141,1.055,0.843,1.653,2.227,1.681,2.299,2.496,1.969,2.761,2.649,2.795,3.477,3.598,1.104,1.208,2.491,1.158
JC123,31.888,7.792,8.02,8.398,7.836,7.986,9.645,9.932,9.847,7.825,8.064,8.468,7.956,8.434,7.076,7.374,7.51,7.562,7.241,7.715,9.216,9.271,8.989,9.11,9.224,8.376,8.329,8.72,8.836,7.775,8.043,9.168,8.488,7.807,4.441,3.431,4.451,7.516,4.262,3.399,3.866,3.465,3.42,2.095,4.217,3.256,8.036,3.943,3.514,7.413,2.954,4.091,1.621,2.568,2.553,3.122,8.331,8.202,0.691,4.138,7.497,4.014,3.747,3.607,3.123,1.486,1.54,4.898,3.462,4.014,1.126,2.503,3.582,2.051,3.611,7.793,3.287,3.691,3.536,4.393,6.785,0.817,1.615,3.111,4.37,3.771,4.136,2.261,1.593,0.487,0.577,1.093,1.141,0.0,1.748,1.121,0.585,2.929,2.383,1.468,1.494,2.097,3.811,2.92,1.965,2.577,2.596,1.383,1.108,3.302,2.547
JC124,32.047,8.898,9.126,9.504,8.942,9.093,10.751,11.038,10.953,8.931,9.171,9.574,9.063,9.54,8.182,8.48,8.617,8.669,8.347,8.821,10.322,10.378,10.096,10.216,10.331,9.482,9.436,9.826,9.942,8.882,9.149,10.274,9.594,8.913,5.531,4.521,5.54,8.623,5.352,4.488,4.956,3.928,3.887,2.936,4.684,4.346,7.009,5.033,4.604,4.785,4.043,5.181,0.569,3.493,1.409,2.778,6.008,9.308,1.303,4.543,8.603,5.103,4.836,4.696,4.213,1.991,2.774,6.486,4.551,5.103,2.36,2.526,2.35,2.001,4.7,5.924,4.376,4.781,4.004,5.483,7.891,1.545,1.41,3.161,4.037,4.86,5.226,3.186,2.827,2.029,1.968,1.66,1.055,1.748,0.0,0.851,2.033,1.722,1.176,2.614,2.877,2.222,2.02,2.658,2.983,3.485,3.788,1.112,1.588,2.499,1.038
JC125,32.401,8.352,8.58,8.958,8.395,8.546,10.204,10.492,10.407,8.385,8.624,9.028,8.516,8.994,7.636,7.933,8.07,8.122,7.801,8.275,9.776,9.831,9.549,9.669,9.784,8.936,8.889,9.279,9.395,8.335,8.602,9.728,9.048,8.366,5.339,4.329,5.348,8.076,5.16,4.297,4.764,3.695,3.654,2.703,4.451,4.154,4.756,4.841,4.412,4.552,3.852,4.989,0.933,3.301,1.828,2.545,5.775,8.762,0.677,3.413,8.057,4.912,4.644,4.505,4.021,1.781,2.564,4.692,4.36,4.911,2.15,2.293,2.874,1.864,4.509,8.353,4.185,4.589,3.77,5.291,7.344,0.999,0.749,2.928,4.929,4.668,5.034,2.994,2.621,1.794,1.755,1.447,0.843,1.121,0.851,0.0,1.387,2.016,1.47,1.783,1.981,1.453,2.263,1.912,2.28,2.739,3.083,0.498,0.692,1.754,2.035
JC127,31.275,7.18,7.408,7.786,7.223,7.374,9.032,9.319,9.234,7.213,7.452,7.856,7.344,7.822,6.464,6.761,6.898,6.95,6.628,7.103,8.604,8.659,8.377,8.497,8.612,7.763,7.717,8.107,8.223,7.163,7.43,8.556,7.875,7.194,5.029,5.202,6.011,6.904,6.697,3.987,5.359,4.053,5.474,2.683,7.243,4.491,7.424,5.178,4.749,6.8,3.542,4.679,2.133,2.7,3.473,3.71,7.718,7.59,0.948,8.069,6.884,4.601,4.981,4.842,4.358,2.335,2.09,8.379,4.697,5.248,1.713,3.09,4.17,2.971,4.198,7.18,4.522,4.279,4.124,5.981,6.172,0.719,1.18,3.698,3.757,5.005,4.724,2.307,1.794,1.075,1.131,1.606,1.653,0.585,2.033,1.387,0.0,2.474,1.928,0.964,0.882,1.592,3.198,2.308,1.46,1.965,1.984,1.317,0.719,2.689,3.1
JC130,31.673,9.34,9.568,9.946,9.383,9.534,11.192,11.479,11.394,9.372,9.612,10.015,9.504,9.982,8.624,8.921,9.058,9.11,8.788,9.262,10.763,10.819,10.537,10.657,10.772,9.923,9.877,10.267,10.383,9.323,9.59,10.716,10.035,9.354,7.115,7.362,8.171,9.064,8.857,6.073,7.519,6.68,5.431,4.479,8.995,6.651,8.633,7.338,6.909,8.96,5.628,6.765,1.741,4.86,2.581,4.321,9.878,9.75,2.435,6.168,9.044,6.688,7.141,7.002,6.518,3.557,4.572,8.111,6.857,7.408,4.195,4.07,3.521,3.478,6.285,9.34,6.682,6.365,5.547,8.141,8.332,2.632,1.342,4.704,5.917,7.165,6.81,4.788,4.275,3.556,3.139,2.831,2.227,2.929,1.722,2.016,2.474,0.0,0.578,1.229,1.608,0.837,0.965,1.272,1.725,2.1,2.402,0.979,1.064,1.114,2.281
JC131,31.204,8.821,9.049,9.427,8.865,9.015,10.674,10.961,10.876,8.854,9.093,9.497,8.985,9.463,8.105,8.403,8.539,8.591,8.27,8.744,10.245,10.3,10.018,10.139,10.253,9.405,9.358,9.749,9.865,8.804,9.072,10.197,9.517,8.836,6.569,5.559,6.578,8.546,8.338,5.527,7.001,6.211,4.884,3.933,8.526,6.133,8.164,6.819,6.391,8.442,5.082,6.219,1.194,4.342,2.035,3.775,9.36,9.231,1.889,5.699,8.526,6.142,6.623,6.483,6.0,3.011,3.794,7.641,6.338,6.89,3.38,3.523,2.975,2.932,5.739,8.822,6.163,5.819,5.001,6.521,7.814,2.086,0.945,4.158,5.399,6.647,6.264,4.224,3.708,2.881,2.593,2.285,1.681,2.383,1.176,1.47,1.928,0.578,0.0,1.775,2.154,1.383,0.843,1.72,2.222,2.446,2.948,0.886,1.241,1.358,1.704
JC132,28.862,7.779,8.007,8.385,7.822,7.973,9.631,9.919,9.834,7.812,8.051,8.455,7.943,8.421,7.063,7.36,7.497,7.549,7.228,7.702,9.203,9.258,8.976,9.096,9.211,8.363,8.316,8.706,8.822,7.762,8.029,9.155,8.475,7.793,6.227,5.801,6.61,7.503,7.296,5.185,5.958,4.974,6.074,3.604,7.842,5.09,8.023,5.777,5.348,7.4,4.739,5.877,2.696,3.3,3.591,4.631,8.317,8.189,1.566,8.668,7.484,5.799,5.58,5.441,4.957,2.641,3.011,8.978,5.296,5.848,2.634,4.011,4.637,3.185,5.396,7.78,5.121,5.477,5.045,6.581,6.771,1.337,1.067,4.619,4.356,5.605,5.922,3.228,2.715,1.996,2.404,2.224,2.299,1.468,2.614,1.783,0.964,1.229,1.775,0.0,0.688,1.27,2.37,1.479,0.954,1.136,1.155,2.156,1.68,1.861,4.367
JC133,29.088,7.38,7.609,7.987,7.424,7.575,9.233,9.52,9.435,7.413,7.653,8.056,7.545,8.022,6.665,6.962,7.099,7.151,6.829,7.303,8.804,8.86,8.578,8.698,8.813,7.964,7.918,8.308,8.424,7.364,7.631,8.757,8.076,7.395,5.828,5.403,6.212,7.105,6.898,4.786,5.56,4.575,5.675,3.206,7.444,4.692,7.625,5.379,4.95,7.001,4.341,5.478,2.977,2.901,3.996,4.233,7.919,7.791,1.967,8.27,7.085,5.401,5.182,5.043,4.559,2.858,2.613,8.58,4.898,5.449,2.236,3.613,4.693,3.494,4.998,7.381,4.723,5.078,4.647,6.182,6.373,1.571,1.209,4.221,3.958,5.206,5.524,2.829,2.316,1.597,2.006,2.567,2.496,1.494,2.877,1.981,0.882,1.608,2.154,0.688,0.0,1.528,2.628,1.737,1.212,1.394,1.413,1.8,1.304,2.119,3.99
JC134,29.133,8.597,8.825,9.203,8.64,8.791,10.449,10.736,10.651,8.63,8.869,9.273,8.761,9.239,7.881,8.178,8.315,8.367,8.046,8.52,10.021,10.076,9.794,9.914,10.029,9.181,9.134,9.524,9.64,8.58,8.847,9.973,9.292,8.611,7.045,6.619,7.428,8.321,8.114,6.002,6.776,5.066,6.892,4.422,8.66,5.908,8.841,6.595,6.166,8.218,5.557,6.695,2.304,4.117,3.199,3.916,9.135,9.007,1.399,4.783,8.301,6.617,6.398,6.259,5.775,2.904,3.829,6.062,6.114,6.665,3.452,3.506,4.245,2.915,6.214,8.597,5.939,6.295,5.141,7.398,7.589,1.627,0.738,4.299,5.174,6.422,6.74,4.045,3.533,2.813,3.222,2.117,1.969,2.097,2.222,1.453,1.592,0.837,1.383,1.27,1.528,0.0,1.667,1.247,0.761,1.42,1.576,1.544,1.193,1.158,3.586
JC135,30.243,9.697,9.925,10.303,9.74,9.891,11.549,11.837,11.752,9.73,9.969,10.373,9.861,10.339,8.981,9.278,9.415,9.467,9.146,9.62,11.121,11.176,10.894,11.014,11.129,10.281,10.234,10.624,10.74,9.68,9.947,11.073,10.393,9.711,8.2,7.719,8.528,9.421,9.214,7.158,7.876,6.322,7.992,5.522,9.76,7.008,8.276,7.695,7.266,9.318,6.713,7.85,2.038,5.218,2.878,4.463,10.235,10.107,2.681,5.81,9.402,7.773,7.498,7.359,6.875,3.699,4.929,7.753,7.214,7.766,4.552,4.212,3.818,3.724,7.37,9.698,7.039,7.45,5.689,8.499,8.689,3.206,1.548,5.669,6.33,7.523,7.895,5.146,4.633,3.914,4.322,3.366,2.761,3.811,2.02,2.263,3.198,0.965,0.843,2.37,2.628,1.667,0.0,0.979,1.373,1.597,2.457,1.699,1.903,0.509,2.73
JC137,28.576,8.806,9.034,9.412,8.85,9.0,10.659,10.946,10.861,8.839,9.078,9.482,8.97,9.448,8.09,8.388,8.524,8.576,8.255,8.729,10.23,10.285,10.003,10.124,10.238,9.39,9.343,9.734,9.849,8.789,9.057,10.182,9.502,8.821,7.309,6.828,7.637,8.53,8.323,6.267,6.985,6.001,7.101,4.631,8.869,6.117,9.05,6.804,6.376,8.427,5.822,6.959,2.739,4.327,3.635,4.351,9.344,9.216,1.869,9.696,8.511,6.882,6.608,6.468,5.985,4.284,4.038,10.005,6.323,6.875,3.661,5.038,4.681,3.373,6.479,8.807,6.148,6.559,6.072,7.608,7.799,2.319,1.197,5.646,5.439,6.632,7.004,4.255,3.742,3.023,3.432,3.207,2.649,2.92,2.658,1.912,2.308,1.272,1.72,1.479,1.737,1.247,0.979,0.0,0.668,0.892,1.752,1.458,1.423,0.399,3.501
JC138,28.347,8.281,8.509,8.887,8.324,8.475,10.133,10.421,10.336,8.314,8.553,8.957,8.445,8.923,7.565,7.863,7.999,8.051,7.73,8.204,9.705,9.76,9.478,9.599,9.713,8.865,8.818,9.208,9.324,8.264,8.531,9.657,8.977,8.296,7.08,6.303,7.112,8.005,7.798,6.038,6.46,5.476,6.576,4.106,8.344,5.592,8.525,6.279,5.851,7.902,5.593,6.73,3.065,3.802,3.96,5.133,8.819,8.691,2.063,9.17,7.986,6.653,6.083,5.943,5.459,3.137,3.513,9.48,5.798,6.35,3.136,4.513,5.006,3.681,6.25,8.282,5.623,6.33,5.547,7.083,7.273,1.833,1.564,5.121,5.21,6.107,6.775,3.73,3.217,2.498,2.907,2.721,2.795,1.965,2.983,2.28,1.46,1.725,2.222,0.954,1.212,0.761,1.373,0.668,0.0,0.659,1.338,1.904,1.599,0.864,3.947
JC139,27.777,8.463,8.691,9.069,8.507,8.657,10.316,10.603,10.518,8.496,8.735,9.139,8.627,9.105,7.747,8.045,8.181,8.233,7.912,8.386,9.887,9.942,9.66,9.781,9.895,9.047,9.0,9.391,9.507,8.446,8.714,9.839,9.159,8.478,7.035,6.025,7.044,8.187,7.98,5.993,6.642,5.658,6.758,4.288,8.526,5.775,8.707,6.461,6.033,8.084,5.547,6.685,3.567,4.881,4.462,5.315,9.002,8.873,3.049,9.353,8.168,6.607,6.265,6.125,5.642,3.941,3.696,9.662,5.98,6.532,3.318,4.695,5.508,4.576,6.204,8.464,5.805,6.285,5.729,6.987,7.456,2.492,2.024,5.303,5.164,6.289,6.73,3.912,3.399,2.68,3.089,3.649,3.477,2.577,3.485,2.739,1.965,2.1,2.446,1.136,1.394,1.42,1.597,0.892,0.659,0.0,1.141,2.257,2.304,1.088,4.333
JC140,28.028,8.102,8.331,8.708,8.146,8.297,9.955,10.242,10.157,8.135,8.375,8.778,8.267,8.744,7.387,7.684,7.821,7.873,7.551,8.025,9.526,9.582,9.3,9.42,9.535,8.686,8.64,9.03,9.146,8.086,8.353,9.479,8.798,8.117,6.097,5.087,6.106,7.827,7.62,5.055,5.522,6.847,6.397,5.463,8.166,5.414,8.347,6.101,5.672,7.723,4.61,5.747,3.869,3.943,5.098,6.551,8.641,8.512,3.068,8.992,7.807,5.669,5.904,5.765,5.281,3.96,3.715,9.301,5.619,6.171,3.337,6.196,7.011,4.595,5.266,8.103,5.445,5.347,6.965,6.049,7.095,2.673,2.24,6.539,4.226,5.928,5.792,4.25,4.058,2.699,3.108,3.668,3.598,2.596,3.788,3.083,1.984,2.402,2.948,1.155,1.413,1.576,2.457,1.752,1.338,1.141,0.0,2.646,2.405,1.948,8.147
JC142,32.206,8.373,8.601,8.979,8.417,8.567,10.226,10.513,10.428,8.406,8.646,9.049,8.538,9.015,7.657,7.955,8.092,8.144,7.822,8.296,9.797,9.853,9.571,9.691,9.806,8.957,8.911,9.301,9.417,8.357,8.624,9.749,9.069,8.388,5.6,4.59,5.61,8.098,5.421,4.558,5.025,3.956,3.916,2.964,4.712,4.415,5.017,5.102,4.673,4.813,4.113,5.25,1.194,3.562,2.09,2.806,6.037,8.783,0.938,3.674,8.078,5.173,4.905,4.766,4.282,2.042,2.826,4.953,4.621,5.173,2.411,2.555,3.135,2.125,4.77,8.374,4.446,4.85,4.032,5.552,7.366,1.113,0.497,3.189,4.951,4.93,5.295,3.256,2.735,1.908,2.017,1.709,1.104,1.383,1.112,0.498,1.317,0.979,0.886,2.156,1.8,1.544,1.699,1.458,1.904,2.257,2.646,0.0,0.793,1.429,1.832
JC143,31.86,7.765,7.993,8.371,7.808,7.959,9.617,9.904,9.819,7.797,8.037,8.44,7.929,8.407,7.049,7.346,7.483,7.535,7.213,7.688,9.189,9.244,8.962,9.082,9.197,8.348,8.302,8.692,8.808,7.748,8.015,9.141,8.46,7.779,5.341,5.787,6.596,7.489,7.282,4.299,5.944,4.585,6.059,3.215,7.828,5.076,8.009,5.763,5.334,7.385,3.854,4.991,1.688,3.285,2.521,3.237,8.303,8.175,0.584,4.105,7.469,4.914,5.566,5.427,4.943,1.718,2.659,5.384,5.282,5.833,2.245,2.745,3.567,2.154,4.511,7.765,5.107,4.591,4.656,6.566,6.757,0.811,0.486,3.333,4.342,5.59,5.036,2.946,2.433,1.606,1.685,1.302,1.208,1.108,1.588,0.692,0.719,1.064,1.241,1.68,1.304,1.193,1.903,1.423,1.599,2.304,2.405,0.793,0.0,1.409,2.524
JC144,28.794,9.188,9.416,9.794,9.231,9.382,11.04,11.328,11.243,9.221,9.46,9.864,9.352,9.83,8.472,8.769,8.906,8.958,8.637,9.111,10.612,10.667,10.385,10.505,10.62,9.772,9.725,10.115,10.231,9.171,9.438,10.564,9.884,9.202,7.691,7.21,8.019,8.912,8.705,6.649,7.367,5.343,7.483,5.013,9.251,6.499,9.432,7.186,6.757,8.809,6.204,7.341,2.553,4.708,3.477,4.193,9.726,9.598,2.172,6.325,8.893,7.264,6.989,6.85,6.366,3.204,4.42,8.268,6.705,7.257,4.043,3.942,4.523,3.215,6.861,9.189,6.53,6.941,5.419,7.99,8.18,2.697,1.039,4.577,5.821,7.014,7.386,4.637,4.124,3.405,3.813,2.849,2.491,3.302,2.499,1.754,2.689,1.114,1.358,1.861,2.119,1.158,0.509,0.399,0.864,1.088,1.948,1.429,1.409,0.0,3.245
JC145,38.704,8.391,8.619,8.997,8.434,8.585,10.243,10.531,18.694,8.424,8.663,9.067,8.555,9.033,7.675,7.972,8.109,8.161,7.84,8.314,9.815,9.87,9.588,9.708,9.823,8.975,8.928,9.318,9.434,8.374,8.641,9.767,9.087,8.405,5.116,4.106,5.125,8.115,4.937,4.074,4.541,4.017,3.431,2.48,6.333,3.931,5.971,4.618,4.189,4.329,3.629,4.766,0.672,3.078,0.964,2.322,6.883,8.801,1.914,3.506,8.096,4.689,4.421,4.282,3.798,1.558,2.341,5.448,4.137,4.688,1.927,2.07,1.904,1.569,4.286,8.392,3.962,4.366,3.547,5.068,7.383,2.607,2.53,2.705,3.623,4.445,4.811,2.771,2.395,2.385,1.97,1.478,1.158,2.547,1.038,2.035,3.1,2.281,1.704,4.367,3.99,3.586,2.73,3.501,3.947,4.333,8.147,1.832,2.524,3.245,0.0
